DÉNOMINATION DE LA FORMATION POLITIQUE,Personnalité,Aide financière à d'autres formations politiques,"Si oui, montant","Si oui, destination",Contributions provenant d'autres formations politiques,"Si oui, montant","Si oui, provenance"
100 % ASNIÈRES,Marie-Do Aeschlimann,Non,x,x,Oui,1 119 €,
ACTION ILE-DE-FRANCE,Valérie Pécresse,Non,x,x,Oui,24 100 €,
AGIR POUR DEMAIN,Philippe Folliot,Non,x,x,Oui,27 000 €,
ALLIANCE CENTRISTE,Jean Arthuis,Oui,27 000 €,,Oui,325 000 €,
ALLIANCE ÉCOLOGISTE INDÉPENDANTE,"Jean-Marc Governatori, Caroline Roose Et Guillaume Reffay",Oui,2 371 €,Destiné à un candidat aux élections régionales,Non,x,x
ALTERNANCES PARISIENNES,Vincent Roger,Non,x,x,Oui,840 €,
ARIAS 94,Gaston Viens ,Non,x,x,Oui,3 322 €,
ASNIÈRES DEBOUT,Josiane Fischer,Oui,720 €,,Non,x,x
ASSOCIATION 6ÈME UNION,Jean-Pierre Lecoq,Oui,5 000 €,,Non,x,x
ASSOCIATION DES COMMUNISTES UNITAIRES,Catherine Bottin Destom,Oui,20 000 €,,Oui,105 000 €,
ASSOCIATION PARIS 15,Philippe Goujon,Oui,7 500 €,,Non,x,x
ASSOCIATION POUR LA RÉFORME,Edouard Balladur,Non,x,x,Oui,7 500 €,
ASSOCIATION PSLE - NOUVEAU CENTRE,Hervé Morin,Oui,589 500 €,,Non,x,x
"BRETAGNE, NOUVELLE VAGUE !","Maël De Calan, Enguerrand Delannoy et Louis Margueritte",Non,x,x,Oui,1 000 €,
CENTRE HUMANISTE EUROPÉEN,Jean-Christophe Lagarde,Non,x,x,Oui,214 500 €,
CENTRE NATIONAL DES INDÉPENDANTS ET PAYSANS,Bruno North,Non,x,x,Oui,33 750 €,
COTELEC,,Oui,229 000 €,Front National,Oui,120 000 €,PROMELEC
DEBOUT LA FRANCE,Nicolas Dupont-Aignan,Oui,183 873 €,,Oui,18 690 €,
DÉMOCRATIE ET RÉPUBLIQUE,Jean-Louis Masson,Oui,171 000 €,,Oui,120 080 €,
ÉCOUTER POUR AGIR,Jean-Didier Berger,Oui,7 620 €,,Non,x,x
"ENSEMBLE, MOUVEMENT POUR UNE ALTERNATIVE DE GAUCHE ÉCOLOGISTE ET SOLIDAIRE",Roland Mérieux Et Monique Migneau,Non,x,x,Oui,80 051 €,"9 645,48 de Gauche Anticapitaliste"
EUROPE ÉCOLOGIE LES VERTS,David Cormand,Oui,115 169 €,,Oui,9 000 €,
FORCE EUROPÉENNE DÉMOCRATE,Hervé Marseille,Oui,214 500 €,,Oui,273 980 €,
FORCES DE GAUCHE,Marie- Pierre Oprandi,Oui,584 030 €,,Non,x,x
FORUM DÉMOCRATIQUE,Laurent Hincker et Jean-Luc Schaffhauser,Non,x,x,Oui,3 600 €,
FRONT NATIONAL,Marine Le Pen,Oui,133 754 €,100 000€ au S.I.E.L.,Oui,229 000 €,COTELEC
GAUCHE ANTICAPITALISTE,,Oui,9 645 €,"Ensemble, mouvement pour une alternative de gauche écologiste et solidaire",Non,x,
GÉNÉRATION ÉCOLOGIE - LES BLEUS,Yves Pietrasanta,Non,x,x,Oui,13 181 €,Parti Radical de Gauche
HAUTE AUTORITÉ DE LA PRIMAIRE DE LA DROITE ET DU CENTRE 2016,Les Républicains,Non,x,x,Oui,66 093 €,Les Républicains
IDÉES-FORCE,Philippe Pemezec,Oui,5 330 €,,Oui,19 000 €,
LA BOÎTE À IDÉES - UMP,"Maël De Calan, Enguerrand Delannoy Et Matthieu Schlesinger ",Oui,1 000 €,,Non,x,x
LA FÉDÉRATION DE CITOYEN- NE-S ET DE FORCES POUR UNE ALTERNATIVE SOCIALE ET ÉCOLOGIQUE,Florence Fusain,Oui,115 000 €,,Oui,104 662 €,
LA FORCE DU 13,,Non,x,x,Oui,92 000 €,Inscrit en tant que contributions des élus mais en provenance du Parti Radical de Gauche
LA FRANCE DROITE,Nathalie Kosciusko-Morizet,Oui,9 300 €,,Non,x,x
LA GAUCHE MODERNE,Jean-Marie Bockel,Oui,2 434 €,,Oui,25 165 €,
LA RELÈVE RÉPUBLICAINE,Geoffroy Didier,Oui,6 000 €,,Non,x,x
LA VOLONTÉ DE VIVRE ENSEMBLE,Jean-Marie Bockel,Oui,11 263 €,,Non,x,x
LE CENTRE POUR LA FRANCE,François Bayrou,Oui,764 793 €,,Oui,1 104 €,Mouvement Démocrate (MoDem)
LE TRÈFLE-LES NOUVEAUX ÉCOLOGISTES-HOMME NATURE ANIMAUX,Albert Lapeyre,Oui,32 155 €,,Non,x,x
LE XII SOLIDAIRE,Franck Margain,Oui,7 000 €,,Non,x,x
LES ALTERNATIFS,Jean-Jacques Boislaroussie Et Rachel Lafontaine,Oui,23 728 €,,Oui,5 000 €,
LES AMIS DE NKM,Nathalie Kosciusko-Morizet,Non,x,x,Oui,4 000 €,
LES AMIS DE YANNICK MOREAU,Yannick Moreau,Non,x,x,Oui,31 896 €,
LES RÉPUBLICAINS,François Fillon,Oui,19 000 €,,Oui,60 244 €,20 154€ de Sens Commun
LIGUE DU SUD,Jacques Bompard,Non,x,x,Oui,29 500 €,
MOUVEMENT DÉMOCRATE,François Bayrou,Oui,102 190 €,"1 104€ à Le Centre pour la France, 101 086€ à Union pour la Démocratie Française ",Oui,784 793 €,
MOUVEMENT DES PROGRESSISTES,Robert Hue,Non,x,x,Oui,72 050 €,
MOUVEMENT HOMMES- ANIMAUX-NATURE,Jacques Leboucher,Non,x,x,Oui,32 155 €,
MOUVEMENT POUR LA FRANCE,Philippe De Villiers,Oui,1 200 €,,Oui,31 897 €,
MOUVEMENT RÉPUBLICAIN ET CITOYEN,Jean-Luc Laurent,Non,x,x,Oui,256 225 €,
PARTI BRETON,Olivier Berthelot,Non,x,x,Oui,4 200 €,
PARTI CHRÉTIEN-DÉMOCRATE,Christine Boutin et Jean-Frédéric Poisson,Oui,3 300 €,,Oui,7 000 €,
PARTI COMMUNISTE FRANCAIS,Pierre Laurent,Oui,55 142 €,,Non,x,
PARTI COMMUNISTE RÉUNIONNAIS,Élie Hoarau,Non,x,x,Oui,3 000 €,
PARTI DE GAUCHE,Éric Coquerel Et Danielle Simonnet,Non,x,x,Oui,407 122 €,
PARTI MOUVEMENT BRETAGNE & PROGRÈS,Christian Troadec,Oui,4 200 €,,Non,x,
PARTI PROGRESSISTE MARTINIQUAIS,Serge Letchimy,Non,x,x,Oui,4 000 €,
PARTI RADICAL,Laurent Henart,Non,x,x,Oui,550 685 €,
PARTI RADICAL DE GAUCHE,Sylvia Pinel,Oui,180 395 €,"92 000€ à La Force du 13, 13 181€ à Génération Ecologie - Les Bleus",Oui,178 235 €,
PARTI SOCIALISTE,Jean-Christophe Cambadélis,Oui,2 652 631 €,,Oui,25 507 €,
PARTICIPATION CITOYENNE,Eric Lafond,Non,x,x,Oui,15 240 €,
PARTIT OCCITAN,David Grosclaude,Non,x,x,Oui,10 175 €,
PARTITU DI A NAZIONE CORSA,Jean-Christophe Angelini,Oui,13 324 €,,Oui,34 114 €,
POUR LA RÉUNION,Huguette Bello,Non,x,x,Oui,30 000 €,
POUR MULHOUSE,Jean Rottner,Oui,13 978 €,,Non,x,x
PROMELEC,,Oui,120 000 €,COTELEC,Non,x,x
RASSEMBLEMENT DÉMOCRATIQUE POUR LA MARTINIQUE,Claude Lise,Oui,10 500 €,,Non,x,x
REFLAIXION,Alexandre Gallese,Non,x,x,Oui,2 000 €,
RÉGIONS ET PEUPLES SOLIDAIRES,Gustave Alirol,Oui,109 989 €,,Oui,115 303 €,
"ROUGE BANLIEUE, LES PRODUCTEURS DE VILLE EN SEINE-SAINT-DENIS",Pascal Beaudet,Non,x,x,Oui,30 000 €,
"S.I.E.L. - SOUVERAINETÉ, IDENTITÉ ET LIBERTÉ",,Non,x,x,Oui,100 000 €,Front National
SENS COMMUN,,Oui,20 154 €,Les Républicains,Non,x,x
SOLIDARITÉ ÉCOLOGIE GAUCHE ALTERNATIVE,,Oui,5 000 €,,Oui,22 820 €,
TAHOERAA HUIRAATIRA,Gaston Flosse,Non,x,x,Oui,4 112 €,
TERRITOIRES EN MOUVEMENT,Jean-Christophe Fromantin,Non,x,x,Oui,33 750 €,
UNION DÉMOCRATIQUE BRETONNE,Nil Caouissin,Oui,7 000 €,,Oui,66 394 €,
UNION DES DÉMOCRATES ET INDÉPENDANTS,Jean-Christophe Lagarde,Oui,645 842 €,,Oui,2 647 708 €,
"UNION DES RADICAUX, CENTRISTES, INDÉPENDANTS ET DÉMOCRATES",Laurent Hénart,Oui,2 702 440 €,,Non,x,x
UNION DES SOCIALISTES POUR MIDI-PYRÉNÉES,Christian Assaf,Oui,25 507 €,,Non,x,x
UNION POUR LA DÉMOCRATIE FRANÇAISE,,Non,x,x,Oui,101 086 €,Mouvement Démocrate (MoDem)
UNION RÉPUBLICAINE DE DROITE,Michèle Tabarot,Oui,38 000 €,,Non,x,x
