Texte,Contenu du texte,Sous la présidence de,État ,Thématique
Loi constitutionnelle n° 60-525 du 4 juin 1960 ,État de la communauté ,Charles De Gaulle,Abrogé,Traités internationaux
Loi n° 62-1292 du 6 novembre 1962,Élection du Président de la République au suffrage universel,Charles De Gaulle,Toujours en vigueur dans l'article 7 ,Pouvoirs publics
Loi constitutionnelle n° 63-1327 du 30 décembre 1963,Organisation de la session parlementaire,Charles De Gaulle,"En vigueur dans l'article 28, mais modifié en 1995",Pouvoirs publics
Loi constitutionnelle n° 74-904 du 29 octobre 1974,Possibilité pour 60 députés ou 60 sénateurs de saisir le Conseil Constitutionnel d'une loi avant sa promulgation,Valéry Giscard D'Estaing,Toujours en vigueur dans l'article 61,Pouvoirs publics
Loi constitutionnelle n° 76-527 du 18 juin 1976 ,Organisation de l'intérim de la Présidence de la République,Valéry Giscard D'Estaing,Toujours en vigueur dans l'article 7,Pouvoirs publics
Loi constitutionnelle n° 92-554 du 25 juin 1992,Intégration des dispositions du Traité de Maastricht,François Mitterrand,"Toujours en vigueur dans les articles 2, 54, 74,88-3",Traités internationaux
Loi constitutionnelle n° 93-952 du 27 juillet 1993,Organisation de la magistrature et responsabilité pénale des membres du Gouvernement,François Mitterrand,"Toujours en vigueur dans les articles 65, 68-1, 68-2",Pouvoirs publics et justice
Loi constitutionnelle n° 93-1256 du 25 novembre 1993,Droit d'asile,François Mitterrand,Toujours en vigueur dans l'article 53-1,Pouvoirs publics et traités internationaux
Loi constitutionnelle n° 95-880 du 4 août 1995,"Organisation d'un référendum, organisation de la session parlementaire, inviolabilité du régime parlementaire et abrogation des dispositions de la loi constitutionnelle de 1960",Jacques Chirac,"Toujours en vigueur dans les articles 11, 28, 26",Pouvoirs publics
Loi constitutionnelle n° 96-138 du 22 février 1996 ,Instauration des lois de financement de la sécurité sociale,Jacques Chirac,"Toujours en vigueur dans les articles 34, 47,47-1 et 47-2, mais modifié en 2008",Pouvoirs publics
Loi constitutionnelle n° 98-610 du 20 juillet 1998 ,Dispositions relatives à la Nouvelle-Calédonie,Jacques Chirac,Toujours en vigueur dans les articles 76 et 77,Collectivités territoriales
Loi constitutionnelle n° 99-49 du 25 janvier 1999 ,Intégration des dispositions du Traité d'Amsterdam,Jacques Chirac,Modification de l'article 88-2 et article 88-4 modifié en 2008,Traités internationaux
Loi constitutionnelle n° 99-568 du 8 juillet 1999 ,Reconnaissance de la Cour Pénale Internationale,Jacques Chirac,Toujours en vigueur dans l'article 53-2,Traités internationaux
Loi constitutionnelle n° 99-569 du 8 juillet 1999 ,Égalité d'accès aux hommes et aux femmes aux fonctions électives et mandats électoraux,Jacques Chirac,Supprimé en 2008,Pouvoirs publics
Loi constitutionnelle n° 2000-964 du 2 octobre 2000 ,Instauration du quinquennat pour le mandat présidentiel,Jacques Chirac,Toujours en vigueur dans l'article 6,Pouvoirs publics
Loi constitutionnelle n° 2003-267 du 25 mars 2003,Compétence de la loi pour les règles relatives au mandat d'arrêt européen,Jacques Chirac,Modifié en 2008,Traités internationaux
Loi constitutionnelle n° 2003-276 du 28 mars 2003 ,Organisation décentralisée de l'État,Jacques Chirac,Toujours en vigueur dans l'article 2,Collectivités territoriales
Loi constitutionnelle n° 2005-204 du 1er mars 2005 ,Traité établissant une Constitution pour l'Europe,Jacques Chirac,Partiellement abrogé et modifié en 2008,Traités internationaux
Loi constitutionnelle n° 2005-205 du 1er mars 2005,Intégration de la Charte de l'Environnement dans le Bloc de Constitutionnalité,Jacques Chirac,Toujours en vigueur,Pouvoirs publics
Loi constitutionnelle n° 2007-237 du 23 février 2007,Définition du corps électoral de la Nouvelle-Calédonie,Jacques Chirac,Toujours en vigueur dans l'article 77,Collectivités territoriales
Loi constitutionnelle n° 2007-238 du 23 février 2007 ,Création de la Haute Cour et irresponsabilité pénale du Chef de l'État,Jacques Chirac,Toujours en vigueur dans les articles 67 et 68,Pouvoirs publics et justice
Loi constitutionnelle n° 2007-239 du 23 février 2007,Interdiction de la peine de mort,Jacques Chirac,Toujours en vigueur dans l'article 66-1,Pouvoirs publics et justice
Loi constitutionnelle n° 2008-103 du 4 février 2008 modifiant le titre XV de la Constitution,Intégration du Traité de Lisbonne,Nicolas Sarkozy,Toujours en vigueur dans les articles 88-1 à 88-7,Traités internationaux
Loi constitutionnelle n° 2008-724 du 23 juillet 2008 de modernisation des institutions de la Ve République,Modernisation des institutions de la Ve République,Nicolas Sarkozy,Toujours en vigueur,Pouvoirs publics et justice
